"分野","ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation","Keywords"
"ストラテジ","ST-051","技術開発戦略において作成されるロードマップを説明しているものはどれか。","ア 技術の競争力レベルと技術のライフサイクルを2軸としたマトリックス上に,自社の技術や新しい技術をプロットする。","イ 研究開発への投資とその成果を2軸とした座標上に, 技術の成長過程をグラフ化し, 旧技術から新技術への転換状況を表す。","ウ 市場面からの有望度と技術面からの有望度を2軸としたマトリックス上に, 技術開発プロジェクトをプロットする。","エ 横軸に時間, 縦軸に市場, 商品, 技術などを示し,研究開発成果の商品化, 事業化の方向性をそれらの要素間の関係で表す。",4,"技術ロードマップは、将来目標達成のため、時間軸と共に市場・商品・技術の関係性や開発計画を示したものです。","技術ロードマップ,MOT"
"ストラテジ","ST-052","コーポレートガバナンスを強化した事例として, 最も適切なものはどれか。","ア 女性が活躍しやすくするために労務制度を拡充した。","イ 迅速な事業展開のために, 他社の事業を買収した。","ウ 独立性の高い社外取締役の人数を増やした。","エ 利益が得られにくい事業から撤退した。",3,"コーポレートガバナンス強化の代表例は、経営監視機能を高めるための社外取締役の増員です。","コーポレートガバナンス,取締役会"
"ストラテジ","ST-053","ある銀行では, システムの接続仕様を外部に公開し、 あらかじめ契約を結んだ外部事業者のアクセスを認めることによって, 利便性の高い, 高度なサービスを展開しやすくしている。 このような取組を表す用語として,最も適切なものはどれか。","ア BPO","イ RPA","ウ オープン API","エ 技術経営",3,"オープンAPIは、自社のシステム機能やデータを外部事業者が利用できるようにAPIを公開し、連携サービス創出を促す仕組みです。","オープンAPI,フィンテック"
"ストラテジ","ST-054","A 社では, 1千万円を投資して営業支援システムを再構築することを検討している。 現状の営業支援システムの運用費が5百万円/年, 再構築後の営業支援システムの運用費が4百万円/年、 再構築による新たな利益の増加が2百万円/年であるとき,この投資の回収期間は何年か。 ここで,これら以外の効果, 費用などは考慮しないものとし, 計算結果は小数点以下第2位を四捨ご入するものとする。","ア 2.5","イ 3.3","ウ 5.0","エ 10.0",2,"投資回収期間 = 投資額 ÷ 年間効果額 = 1000万円 ÷ (利益増200万円 + コスト減100万円) = 1000 ÷ 300 ≒ 3.3年。","投資回収期間,財務指標"
"ストラテジ","ST-055","あるソフトウェアは, 定額の料金や一定の期間での利用ができる形態で提供されている。この利用形態を表す用語として, 適切なものはどれか。","ア アクティベーション","イ アドウェア","ウ サブスクリプション","エ ボリュームライセンス",3,"サブスクリプションは、製品を買い取るのではなく、一定期間の利用権に対して料金を支払う方式です。","サブスクリプション,ビジネスモデル"
"ストラテジ","ST-056","インターネットを介して個人や企業が保有する住宅などの遊休資産の貸出しを仲介するサービスや仕組みを表す用語として,最も適切なものはどれか。","ア シェアードサービス","イ シェアウェア","ウ シェアリングエコノミー","エ ワークシェアリング",3,"シェアリングエコノミーは、個人などが保有する遊休資産をインターネット上のプラットフォームを介して他者と共有する仕組みです。","シェアリングエコノミー,プラットフォームビジネス"
"ストラテジ","ST-057","A 社は RPA ソフトウェアを初めて導入するに当たり, 計画策定フェーズ, 先行導入フェーズ, 本格導入フェーズの3段階で進めようと考えている。 次のうち, 計画策定フェーズで実施する作業として,適切なものだけを全て挙げたものはどれか。
a RPAソフトウェアの適用可能性を見極めるための概念検証を実施する。
b RPAソフトウェアを全社展開するための導入と運用の手順書を作成する。
c 部門, 業務を絞り込んで RPAソフトウェアを導入し, 効果を実測する。","ア a","イ a, c","ウ b","エ b, c",1,"RPA導入の計画策定フェーズでは、導入目的の設定、対象業務選定、効果試算、そしてPoC(概念実証)による適用可能性検証(a)を行います。","RPA,導入計画"
"ストラテジ","ST-058","史跡などにスマートフォンを向けると, 昔あった建物の画像や説明情報を現実の風景と重ねるように表示して,観光案内をできるようにした。 ここで活用した仕組みを表す用語として,最も適切なものはどれか。","ア AR","イ GUI","ウ VR","エ メタバース",1,"AR（拡張現実）は、現実世界の風景にデジタル情報を重ねて表示する技術です。","AR,VR"
"ストラテジ","ST-059","データサイエンティストの役割に関する記述として, 最も適切なものはどれか。","ア 機械学習や統計などの手法を用いてビッグデータを解析することによって, ビジネスに活用するための新たな知見を獲得する。","イ 企業が保有する膨大なデータを高速に検索できるように, パフォーマンスの高いデータベースを運用するためのシステム基盤を構築する。","ウ 企業における情報システムに関するリスクを評価するために, 現場でのデータの取扱いや管理についての実態を調査する。","エ 企業や組織における安全な情報システムの企画、設計、開発、運用を, サイバーセキュリティに関する専門的な知識や技能を活用して支援する。",1,"データサイエンティストは、ビッグデータを分析し、ビジネスに役立つ知見を引き出す専門職です。","データサイエンティスト,ビッグデータ"
"ストラテジ","ST-060","個人情報保護法では、 あらかじめ本人の同意を得ていなくても個人データの提供が許される行為を規定している。 この行為に該当するものだけを, 全て挙げたものはどれか。
a 事故で意識不明の人がもっていた本人の社員証を見て、搬送先の病院が本人の会社に電話してきたので, 総務の担当者が本人の自宅電話番号を教えた。
b 新規加入者を勧誘したいと保険会社の従業員に頼まれたので、総務の担当者が新入社員の名前と所属部門のリストを渡した。
c 不正送金等の金融犯罪被害者に関する個人情報を, 類似犯罪の防止対策を進める捜査機関からの法令に基づく要請に応じて, 総務の担当者が提供した。","ア a","イ a, c","ウ b, c","エ c",2,"個人情報保護法では、本人の同意なく個人データを提供できる例外として、a「人の生命・身体・財産の保護に必要で同意困難な場合」や、c「法令に基づく場合」などが定められています。","個人情報保護法,第三者提供"
