"ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation"
79,"正しい URL を指定してインターネット上の Web サイトへアクセスしようとした利用者が,偽装された Web サイトに接続されてしまうようになった。 原因を調べたところ, ドメイン名と IP アドレスの対応付けを管理するサーバに脆弱性があり, 攻撃者によって, ドメイン名と IP アドレスを対応付ける情報が書き換えられていた。 このサーバが受けた攻撃はどれか。","ア DDoS 攻撃","イ DNS キャッシュポイズニング","ウ ソーシャルエンジニアリング","エ ドライブバイダウンロード",2,"（解説なし）"
80,"情報セキュリティにおける PCI DSS の説明として、適切なものはどれか。","ア クレジットカード情報を取り扱う事業者に求められるセキュリティ基準","イ コンピュータなどに内蔵されるセキュリティ関連の処理を行う半導体チップ","ウ コンピュータやネットワークのセキュリティ事故に対応する組織","エ サーバやネットワークの通信を監視し, 不正なアクセスを検知して攻撃を防ぐシステム",1,"（解説なし）"
81,"ランサムウェアによる損害を受けてしまった場合を想定して, その損害を軽減するための対策例として, 適切なものはどれか。","ア PC内の重要なファイルは, PC から取外し可能な外部記憶装置に定期的にバックアップしておく。","イ Web サービスごとに, 使用する IDやパスワードを異なるものにしておく。","ウ マルウェア対策ソフトを用いてPC内の全ファイルの検査をしておく。","エ 無線LAN を使用するときには, WPA2を用いて通信内容を暗号化しておく。",1,"（解説なし）"
82,"推論に関する次の記述中の a, b に入れる字句の適切な組合せはどれか。 a は,個々の事例を基にして, 事例に共通する規則を得る方法であり,得られた規則は b 。","ア 演繹推論 成立しないことがある","イ 演繹推論 常に成立する","ウ 帰納推論 成立しないことがある","エ 帰納推論 常に成立する",3,"（解説なし）"
83,"ISMS の計画, 運用, パフォーマンス評価及び改善において, パフォーマンス評価で実施するものはどれか。","ア 運用の計画及び管理","イ 内部監査","ウ 不適合の是正処置","エ リスクの決定",2,"（解説なし）"
84,"公開鍵暗号方式で使用する鍵に関する次の記述中の a, b に入れる字句の適切な組合せはどれか。 それぞれ公開鍵と秘密鍵をもつ A社とB社で情報を送受信するとき, 他者に通信を傍受されても内容を知られないように, 情報を暗号化して送信することにした。 A社からB社に情報を送信する場合, A 社は a を使って暗号化した情報をB社に送信する。 B 社は A 社から受信した情報を b で復号して情報を取り出す。","ア A社の公開鍵 A社の公開鍵","イ A社の公開鍵 B社の秘密鍵","ウ B社の公開鍵 A社の公開鍵","エ B社の公開鍵 B社の秘密鍵",4,"（解説なし）"
85,"大学のキャンパス案内の Web ページ内に他の Web サービスが提供する地図情報を組み込んで表示するなど, 公開されている Web ページや Web サービスを組み合わせて一つの新しいコンテンツを作成する手法を何と呼ぶか。","ア シングルサインオン","イ デジタルフォレンジックス","ウ トークン","エ マッシュアップ",4,"（解説なし）"
86,"アドホックネットワークの説明として, 適切なものはどれか。","ア アクセスポイントを経由せず, 端末同士が相互に通信を行う無線ネットワーク","イ インターネット上に, セキュリティが保たれたプライベートな環境を実現するネットワーク","ウ サーバと,そのサーバを利用する複数台のPCをつなぐ有線ネットワーク","エ 本店と支店など, 遠く離れた拠点間を結ぶ広域ネットワーク",1,"（解説なし）"
87,"スマートフォンやタブレットなどの携帯端末に用いられている, OSS (Open Source Software) である OS はどれか。","ア Android","イ iOS","ウ Safari","エ Windows",1,"（解説なし）"
88,"a〜d のうち, ファイアウォールの設置によって実現できる事項として, 適切なものだけを全て挙げたものはどれか。 a 外部に公開する Web サーバやメールサーバを設置するための DMZ の構築 b 外部のネットワークから組織内部のネットワークへの不正アクセスの防止 c サーバルームの入り口に設置することによるアクセスを承認された人だけの入室 d 不特定多数のクライアントからの大量の要求を複数のサーバに動的に振り分けることによるサーバ負荷の分散","ア a, b","イ a, b, d","ウ b, c","エ c, d",1,"（解説なし）"
89,"条件 1〜5 によって, 関係データベースで管理する “従業員” 表と “部門” 表を作成した。 “従業員” 表の主キーとして, 最も適切なものはどれか。 [条件] 1 各従業員は重複のない従業員番号を一つもつ。 2 同姓同名の従業員がいてもよい。 3 各部門は重複のない部門コードを一つもつ。 4 一つの部門には複数名の従業員が所属する。 5 1人の従業員が所属する部門は一つだけである。","ア “従業員番号”","イ “従業員番号” と “部門コード”","ウ “従業員名""","エ “部門コード”",1,"（解説なし）"
90,"IoT 機器やスマートフォンなどに内蔵されているバッテリの容量の表記において,“100mAh” の意味として, 適切なものはどれか。","ア 100mAの電流を1時間放電できる。","イ 100分間の充電で, 電流を1時間放電できる。","ウ 1Aの電流を100分間放電できる。","エ 1時間の充電で, 電流を100分間放電できる。",1,"（解説なし）"
91,"ディープラーニングに関する記述として, 最も適切なものはどれか。","ア インターネット上に提示された教材を使って, 距離や時間の制約を受けることなく、習熟度に応じて学習をする方法である。","イ コンピュータが大量のデータを分析し, ニューラルネットワークを用いて自ら規則性を見つけ出し, 推論や判断を行う。","ウ 体系的に分類された特定分野の専門的な知識から, 適切な回答を提供する。","エ 一人一人の習熟度, 理解に応じて, 問題の難易度や必要とする知識、スキルを推定する。",2,"（解説なし）"
92,"無線 LAN ルータにおいて, 外部から持ち込まれた端末用に設けられた, “ゲストポート”や“ゲスト SSID" などと呼ばれる機能によって実現できることの説明として適切なものはどれか。","ア 端末から内部ネットワークには接続をさせず, インターネットにだけ接続する。","イ 端末がマルウェアに感染していないかどうかを検査し, 安全が確認された端末だけを接続する。","ウ 端末と無線LANルータのボタン操作だけで, 端末から無線LANルータへの接続設定ができる。","エ 端末の SSID の設定欄を空欄にしておけば, SSID が分からなくても無線LANルータに接続できる。",1,"（解説なし）"
93,"サイバーキルチェーンの説明として, 適切なものはどれか。","ア 情報システムへの攻撃段階を, 偵察, 攻撃, 目的の実行などの複数のフェーズに分けてモデル化したもの","イ ハブやスイッチなどの複数のネットワーク機器を数珠つなぎに接続していく接続方式","ウ ブロックと呼ばれる幾つかの取引記録をまとめた単位を,一つ前のブロックの内容を示すハッシュ値を設定して、鎖のようにつなぐ分散管理台帳技術","エ 本文中に他者への転送を促す文言が記述された迷惑な電子メールが, 不特定多数を対象に,ネットワーク上で次々と転送されること",1,"（解説なし）"
94,"電子メールにデジタル署名を付与することによって得られる効果だけを全て挙げたものはどれか。 a 可用性が向上する。 b 完全性が向上する。 c 機密性が向上する。","ア a, b","イ a, c","ウ b","エ b, c",3,"（解説なし）"
95,"文書作成ソフトがもつ機能である禁則処理が行われた例はどれか。","ア 改行後の先頭文字が, 指定した文字数分だけ右へ移動した。","イ 行頭に置こうとした句読点や閉じ括弧が、 前の行の行末に移動した。","ウ 行頭の英字が小文字から大文字に変換された。","エ 文字列の文字が, 指定した幅の中に等間隔に配置された。",2,"（解説なし）"
96,"情報セキュリティにおける機密性, 完全性及び可用性と, 1~3のインシデントによって損なわれたものとの組合せとして,適切なものはどれか。 1 DDoS 攻撃によって, Webサイトがダウンした。 2 キーボードの打ち間違いによって, 不正確なデータが入力された。 3 PCがマルウェアに感染したことによって, 個人情報が漏えいした。","ア 可用性 完全性 機密性","イ 可用性 機密性 完全性","ウ 完全性 可用性 機密性","エ 完全性 機密性 可用性",1,"（解説なし）"
97,"膨大な数の IoT デバイスをインターネットに接続するために大量の IP アドレスが必要となり, IP アドレスの長さが128ビットで構成されているインターネットプロトコルを使用することにした。 このプロトコルはどれか。","ア IPv4","イ IPv5","ウ IPv6","エ IPv8",3,"（解説なし）"
98,"サーバ室など, セキュリティで保護された区画への入退室管理において, 一人の認証で他者も一緒に入室する共連れの防止対策として, 利用されるものはどれか。","ア アンチパスバック","イ コールバック","ウ シングルサインオン","エ バックドア",1,"（解説なし）"
99,"バイオメトリクス認証に関する記述として, 適切なものはどれか。","ア 指紋や静脈を使用した認証は,ショルダーハックなどののぞき見行為によって容易に認証情報が漏えいする。","イ 装置が大型なので, 携帯電話やスマートフォンには搭載できない。","ウ 筆跡やキーストロークなどの本人の行動的特徴を利用したものも含まれる。","エ 他人を本人と誤って認証してしまうリスクがない。",3,"（解説なし）"
100,"情報セキュリティのリスクマネジメントにおけるリスク対応を, リスク回避, リスク共有, リスク低減及びリスク保有の四つに分類するとき, 情報漏えい発生時の損害に備えてサイバー保険に入ることはどれに分類されるか。","ア リスク回避","イ リスク共有","ウ リスク低減","エ リスク保有",2,"（解説なし）"
101,"トランザクション処理の ACID 特性に関する記述として、 適切なものはどれか。","ア 索引を用意することによって, データの検索時の検索速度を高めることができる。","イ データの更新時に,一連の処理が全て実行されるか、 全く実行されないように制御することによって, 原子性を保証することができる。","ウ データベースの複製を複数のサーバに分散配置することによって, 可用性を高めることができる。","エ テーブルを正規化することによって, データに矛盾や重複が生じるのを防ぐことができる。",2,"（解説なし）"
102,"自動車などの移動体に搭載されたセンサや表示機器を通信システムや情報システムと連動させて運転者へ様々な情報をリアルタイムに提供することを可能にするものはどれか。","ア アクチュエータ","イ キャリアアグリゲーション","ウ スマートメータ","エ テレマティクス",4,"（解説なし）"
103,"CPUの性能に関する記述のうち, 適切なものはどれか。","ア 32ビット CPU と64ビット CPU では, 64ビット CPU の方が一度に処理するデータ長を大きくできる。","イ CPU内のキャッシュメモリの容量は, 少ないほど CPU の処理速度が向上する。","ウ 同じ構造の CPU において, クロック周波数を下げると処理速度が向上する。","エ デュアルコア CPU とクアッドコアCPUでは, デュアルコア CPU の方が同時に実行する処理の数を多くできる。",1,"（解説なし）"
104,"A 社では、従業員の利用者 ID とパスワードを用いて社内システムの利用者認証を行っている。 セキュリティを強化するために,このシステムに新たな認証機能を一つ追加することにした。 認証機能 a~cのうち,このシステムに追加することによって,二要素認証になる機能だけを全て挙げたものはどれか。 a A社の従業員証として本人に支給しているICカードを読み取る認証 b あらかじめシステムに登録しておいた本人しか知らない秘密の質問に対する答えを入力させる認証 c あらかじめシステムに登録しておいた本人の顔の特徴と, 認証時にカメラで読み取った顔の特徴を照合する認証","ア a","イ a, b, c","ウ a, c","エ b, c",3,"（解説なし）"
105,"データを行と列から成る表形式で表すデータベースのモデルはどれか。","ア オブジェクトモデル","イ 階層モデル","ウ 関係モデル","エ ネットワークモデル",3,"（解説なし）"
106,"IoT 機器の記録装置としても用いられ, 記録媒体が半導体でできており物理的な駆動機構をもたないので, HDD と比較して低消費電力で耐衝撃性も高いものはどれか。","ア DRM","イ DVD","ウ HDMI","エ SSD",4,"（解説なし）"
107,"情報セキュリティポリシを, 基本方針, 対策基準, 実施手順の三つの文書で構成したとき,これらに関する説明のうち、 適切なものはどれか。","ア 基本方針は, 対策基準や実施手順を定めるためのトップマネジメントの意思を示したものである。","イ 実施手順は, 基本方針と対策基準を定めるために実施した作業の手順を記録したものである。","ウ 対策基準は, ISMSに準拠した情報セキュリティポリシを策定するための文書の基準を示したものである。","エ 対策基準は, 情報セキュリティ事故が発生した後の対策を実施手順よりも詳しく記述したものである。",1,"（解説なし）"
108,"情報セキュリティにおけるリスクアセスメントを, リスク特定, リスク分析, リスク評価の三つのプロセスに分けたとき, リスク分析に関する記述として, 最も適切なものはどれか。","ア 受容基準と比較できるように,各リスクのレベルを決定する必要がある。","イ 全ての情報資産を分析の対象にする必要がある。","ウ 特定した全てのリスクについて, 同じ分析技法を用いる必要がある。","エ リスクが受容可能かどうかを決定する必要がある。",1,"（解説なし）"
109,"メールサーバから電子メールを受信するためのプロトコルの一つであり, 次の特徴をもつものはどれか。 1 メール情報を PC内のメールボックスに取り込んで管理する必要がなく, メールサーバ上に複数のフォルダで構成されたメールボックスを作成してメール情報を管理できる。 2 PCやスマートフォンなど使用する端末が違っても、 同一のメールボックスのメール情報を参照,管理できる。","ア IMAP","イ NTP","ウ SMTP","エ WPA",1,"（解説なし）"
110,"IoT デバイスからのデータ収集などを行う際の通信に用いられる, 数十km までの範囲で無線通信が可能な広域性と省電力性を備えるものはどれか。","ア BLE","イ LPWA","ウ MDM","エ MVNO",2,"（解説なし）"
111,"ブログのサービスで使用される RSS リーダが表示する内容として,最も適切なものはどれか。","ア ブログから収集した記事の情報","イ ブログにアクセスした利用者の数","ウ ブログに投稿した記事の管理画面","エ ブログ用のデザインテンプレート",1,"（解説なし）"
112,"特定の PC から重要情報を不正に入手するといった標的型攻撃に利用され、攻撃対象の PC に対して遠隔から操作を行って, ファイルルの送受信やコマンドなどを実行させるものはどれか。","ア RAT","イ VPN","ウ デバイスドライバ","エ ランサムウェア",1,"（解説なし）"
113,"情報セキュリティ方針に関する記述として, 適切なものはどれか。","ア 一度定めた内容は, 運用が定着するまで変更してはいけない。","イ 企業が目指す情報セキュリティの理想像を記載し, その理想像に近づくための活動を促す。","ウ 企業の情報資産を保護するための重要な事項を記載しているので, 社外に非公開として厳重に管理する。","エ 自社の事業内容 組織の特性及び所有する情報資産の特徴を考慮して策定する。",4,"（解説なし）"
114,"複数のコンピュータが同じ内容のデータを保持し, 各コンピュータがデータの正当性を検証して担保することによって, 矛盾なくデータを改ざんすることが困難となる, 暗号資産の基盤技術として利用されている分散型台帳を実現したものはどれか。","ア クラウドコンピューティング","イ ディープラーニング","ウ ブロックチェーン","エ リレーショナルデータベース",3,"（解説なし）"
115,"インターネットで用いるドメイン名に関する記述のうち, 適切なものはどれか。","ア ドメイン名には, アルファベット, 数字, ハイフンを使うことができるが, 漢字,平仮名を使うことはできない。","イ ドメイン名は,Web サーバを指定するときの URL で使用されるものであり、電子メールアドレスには使用できない。","ウ ドメイン名は, 個人で取得することはできず, 企業や団体だけが取得できる。","エ ドメイン名は,接続先を人が識別しやすい文字列で表したものであり, IP アドレスの代わりに用いる。",4,"（解説なし）"
116,"情報セキュリティのリスクマネジメントにおいて, リスク移転, リスク回避, リスク低減, リスク保有などが分類に用いられることがある。これらに関する記述として,適切なものはどれか。","ア リスク対応において, リスクへの対応策を分類したものであり、リスクの顕在化に備えて保険を掛けることは, リスク移転に分類される。","イ リスク特定において, 保有資産の使用目的を分類したものであり, マルウェア対策ソフトのような情報セキュリティ対策で使用される資産は、リスク低減に分類される。","ウ リスク評価において, リスクの評価方法を分類したものであり、 管理対象の資産がもつリスクについて, それを回避することが可能かどうかで評価することは,リスク回避に分類される。","エ リスク分析において, リスクの分析手法を分類したものであり、 管理対象の資産がもつ脆弱性を客観的な数値で表す手法は, リスク保有に分類される。",1,"（解説なし）"
117,"システムの経済性の評価において, TCO の概念が重要視されるようになった理由として,最も適切なものはどれか。","ア システムの総コストにおいて, 運用費に比べて初期費用の割合が増大した。","イ システムの総コストにおいて, 初期費用に比べて運用費の割合が増大した。","ウ システムの総コストにおいて, 初期費用に占めるソフトウェア費用の割合が増大した。","エ システムの総コストにおいて, 初期費用に占めるハードウェア費用の割合が増大した。",2,"（解説なし）"
