"ID","Question","Option1","Option2","Option3","Option4","Answer","Explanation"
68,"システム開発プロジェクトの品質マネジメントにおいて, 品質上の問題と原因との関連付けを行って根本原因を追究する方法の説明として, 適切なものはどれか。","ア 管理限界を設定し, 上限と下限を逸脱する事象から根本原因を推定する。","イ 原因の候補リストから原因に該当しないものを削除し, 残った項目から根本原因を絞り込む。","ウ 候補となる原因を魚の骨の形で整理し, 根本原因を検討する。","エ 複数の原因を分類し, 件数が多かった原因の順に対処すべき根本原因の優先度を決めていく。",3,"（解説なし）"
69,"IT サービスの利用者からの問合せに自動応答で対応するために, チャットボットを導入することにした。 このようにチャットボットによる自動化が有効な管理プロセスとして,最も適切なものはどれか。","ア インシデント管理","イ 構成管理","ウ 変更管理","エ 問題管理",1,"（解説なし）"
70,"ITサービスマネジメントにおける SLA に関する次の記述において, a, b に当てはまる語句の組合せとして,適切なものはどれか。 SLA は, a が期待するサービスの目標値を定量化して合意した上で SLAに明記し, a と b との間で交わされる合意文書である。 b はこれを測定・評価した上でサービスの品質を改善していく。","ア 経営者 システム監査人","イ 顧客 サービスの供給者","ウ システム開発の発注者 システム開発の受託者","エ データの分析者 データの提供者",2,"（解説なし）"
71,"A社がB社にシステム開発を発注し, システム開発プロジェクトを開始した。 プロジェクトの関係者 1 ~ 4 のうち, プロジェクトのステークホルダとなるものだけを全て挙げたものはどれか。 1 A社の経営者 2 A社の利用部門 3 B社のプロジェクトマネージャ 4 B社を技術支援する協力会社","ア 1, 2, 4","イ 1, 2, 3, 4","ウ 2, 3, 4","エ 2, 4",2,"（解説なし）"
72,"ad のうち, システム監査人が,合理的な評価・結論を得るために予備調査や本調査のときに利用する調査手段に関する記述として, 適切なものだけを全て挙げたものはどれか。 a EA (Enterprise Architecture)の活用 b コンピュータを利用した監査技法の活用 c 資料や文書の閲覧 d ヒアリング","ア a,b,c","イ a, b, d","ウ a, c, d","エ b, c, d",4,"（解説なし）"
73,"顧客からの電話による問合せに対応しているサービスデスクが,次のようなオペレータ支援システムを導入した。 このシステム導入で期待できる効果 a〜c のうち,適切なものだけを全て挙げたものはどれか。 顧客とオペレータの会話をシステムが認識し、瞬時に知識データベースと照合, 次に確認すべき事項や最適な回答の候補をオペレータのディスプレイに表示する。 a 経験の浅いオペレータでも最適な回答候補を基に顧客対応することができるので, オペレータによる対応のばらつきを抑えることができる。 b 顧客の用件を自動的に把握して回答するので, 電話による問合せに24時間対応することができる。 c 対応に必要な情報をオペレータが探す必要がなくなるので、 個々の顧客対応時間を短縮することができる。","ア a, b","イ a, b, c","ウ a, c","エ b, c",3,"（解説なし）"
74,"開発期間 10か月, 開発の人件費予算 1,000万円のプロジェクトがある。 5か月経過した時点で,人件費の実績は600万円であり, 成果物は全体の40%が完成していた。 このままの生産性で完成まで開発を続けると、人件費の予算超過はいくらになるか。","ア 100万円","イ 200万円","ウ 250万円","エ 500 万円",4,"（解説なし）"
75,"システムの利用者数が当初の想定よりも増えてシステムのレスポンスが悪化したので,増強のためにサーバを1台追加することにした。 動作テストが終わったサーバをシステムに組み入れて稼働させた。 この作業を実施する IT サービスマネジメントのプロセスとして,適切なものはどれか。","ア インシデント管理","イ 変更管理","ウ 問題管理","エ リリース及び展開管理",4,"（解説なし）"
76,"システム監査の手順に関して,次の記述中の a, b に入れる字句の適切な組合せはどれか。 システム監査は, a に基づき b の手順によって実施しなければならない。","ア 監査計画 結合テスト, システムテスト, 運用テスト","イ 監査計画 予備調査,本調査,評価結論","ウ 法令 結合テスト, システムテスト, 運用テスト","エ 法令 予備調査,本調査, 評価 結論",2,"（解説なし）"
77,"プロジェクトマネジメントのプロセスには, プロジェクトコストマネジメント,プロジェクトコミュニケーションマネジメント, プロジェクト資源マネジメント,プロジェクトスケジュールマネジメントなどがある。 システム開発プロジェクトにおいて,テストを実施するメンバを追加するときのプロジェクトコストマネジメントの活動として, 最も適切なものはどれか。","ア 新規に参加するメンバに対して情報が効率的に伝達されるように, メーリングリストなどを更新する。","イ 新規に参加するメンバに対する, テストツールのトレーニングをベンダに依頼する。","ウ 新規に参加するメンバに担当させる作業を追加して, スケジュールを変更する。","エ 新規に参加するメンバの人件費を見積もり,その計画を変更する。",4,"（解説なし）"
78,"同一難易度の複数のプログラムから成るソフトウェアのテスト工程での品質管理において,各プログラムの単位ステップ数当たりのバグ数をグラフ化し,上限・下限の限界線を超えるものを異常なプログラムとして検出したい。 作成する図として最も適切なものはどれか。","ア 管理図","イ 特性要因図","ウ パレート図","エ レーダチャート",1,"（解説なし）"
79,"クラスや継承という概念を利用して, ソフトウェアを部品化したり再利用することで,ソフトウェア開発の生産性向上を図る手法として、 適切なものはどれか。","ア オブジェクト指向","イ 構造化","ウ プロセス中心アプローチ","エ プロトタイピング",1,"（解説なし）"
80,"システム開発プロジェクトにおいて, 利用者から出た要望に対応するために, プログラムを追加で作成することになった。 このプログラムを作成するために, 先行するプログラムの作成を終えたプログラマを割り当てることにした。 そして、結合テストの開始予定日までに全てのプログラムが作成できるようにスケジュールを変更し,新たな計画をプロジェクト内に周知した。 このように, 変更要求をマネジメントする活動はどれか。","ア プロジェクト資源マネジメント","イ プロジェクトスコープマネジメント","ウ プロジェクトスケジュールマネジメント","エ プロジェクト統合マネジメント",4,"（解説なし）"
81,"A 社で新規にシステムを開発するプロジェクトにおいて, システムの開発をシステム要件定義、設計, プログラミング, 結合テスト, 総合テスト, 運用テストの順に行う。A社は, 外部ベンダのB社と設計, プログラミング及び結合テストを委託範囲とする請負契約を結んだ。 A 社が実施する受入れ検収はどの工程とどの工程の間で実施するのが適切か。","ア システム要件定義と設計の間","イ プログラミングと結合テストの間","ウ 結合テストと総合テストの間","エ 総合テストと運用テストの間",3,"（解説なし）"
82,"IT サービスマネジメントにおいて, サービスデスクが受け付けた難度の高いインシデントを解決するために, サービスデスクの担当者が専門技術をもつ二次サポートに解決を委ねることはどれか。","ア FAQ","イ SLA","ウ エスカレーション","エ ワークアラウンド",3,"（解説なし）"
83,"ITIL に関する記述として, 適切なものはどれか。","ア ITサービスの提供とサポートに対して, ベストプラクティスを提供している。","イ IT システム開発とその取引の適正化に向けて, 作業項目を一つ一つ定義し、標準化している。","ウ ソフトウェア開発組織の成熟度を多段階のレベルで定義している。","エ プロジェクトマネジメントの知識を体系化している。",1,"（解説なし）"
84,"システム要件定義で明確にするもののうち, 性能に関する要件はどれか。","ア 業務要件を実現するシステムの機能","イ システムの稼働率","ウ 照会機能の応答時間","エ 障害の復旧時間",3,"（解説なし）"
85,"システム開発プロジェクトにおいて, 成果物として定義された画面 帳票の一覧と,実際に作成された画面 帳票の数を比較して, 開発中に生じた差異とその理由を確認するプロジェクトマネジメントの活動はどれか。","ア プロジェクト資源マネジメント","イ プロジェクトスコープマネジメント","ウ プロジェクト調達マネジメント","エ プロジェクト品質マネジメント",2,"（解説なし）"
86,"既存のプログラムを, 外側から見たソフトウェアの動きを変えずに内部構造を改善する活動として,最も適切なものはどれか。","ア テスト駆動開発","イ ペアプログラミング","ウ リバースエンジニアリング","エ リファクタリング",4,"（解説なし）"
87,"IT ガバナンスに関する次の記述中のaに入れる, 最も適切な字句はどれか。 a は,現在及び将来の IT の利用についての評価と IT 利用が事業の目的に合致することを確実にする役割がある。","ア 株主","イ 監査人","ウ 経営者","エ 情報システム責任者",3,"（解説なし）"
88,"アジャイル開発を実施している事例として, 最も適切なものはどれか。","ア AI システムの予測精度を検証するために, 開発に着手する前にトライアルを行い, 有効なアルゴリズムを選択する。","イ IoT の様々な技術を幅広く採用したいので,技術を保有するベンダに開発を委託する。","ウ IoT を採用した大規模システムの開発を, 上流から下流までの各工程における完了の承認を行いながら順番に進める。","エ 分析システムの開発において, 分析の精度の向上を図るために, 固定された短期間のサイクルを繰り返しながら分析プログラムの機能を順次追加する。",4,"（解説なし）"
89,"自社の情報システムに関して, BCP (事業継続計画)に基づいて, マネジメントの視点から行う活動a〜d のうち, 適切なものだけを全て挙げたものはどれか。 a 重要データのバックアップを定期的に取得する。 b 非常時用の発電機と燃料を確保する。 c 複数の通信網を確保する。 d 復旧手順の訓練を実施する。","ア a,b,c","イ a, b, c,d","ウ a, d","エ b, c, d",2,"（解説なし）"
90,"IT サービスにおけるSLM に関する説明のうち、 適切なものはどれか。","ア SLM では, SLAで合意したサービスレベルを維持することが最優先課題となるので,サービスの品質の改善は補助的な活動となる。","イ SLM では, SLAで合意した定量的な目標の達成状況を確認するために, サービスの提供状況のモニタリングやレビューを行う。","ウ SLM の目的は, 顧客とサービスの内容, 要求水準などの共通認識を得ることであり, SLAの作成が活動の最終目的である。","エ SLM を効果的な活動にするために, SLA で合意するサービスレベルを容易に達成できるレベルにしておくことが重要である。",2,"（解説なし）"
91,"WBS を作成するときに, 作業の記述や完了基準などを記述した補助文書を作成する。この文書の目的として, 適切なものはどれか。","ア WBS で定義した作業で使用するデータの意味を明確に定義する。","イ WBS で定義した作業の進捗を管理する。","ウ WBS で定義した作業のスケジュールのクリティカルパスを求める。","エ WBS で定義した作業の内容と意味を明確に定義する。",4,"（解説なし）"
92,"有料のメールサービスを提供している企業において, メールサービスに関する開発・設備投資の費用対効果の効率性を対象にしてシステム監査を実施するとき, システム監査人が所属している組織として, 最も適切なものはどれか。","ア 社長直轄の品質保証部門","イ メールサービスに必要な機器の調達を行う運用部門","ウ メールサービスの機能の選定や費用対効果の評価を行う企画部門","エ メールシステムの開発部門",1,"（解説なし）"
